,Player,Season,Team,dob,pos
2335,Andrew MacDonald,20092010,New York Islanders,1986-09-07,D
2336,Niclas Wallin,20092010,totals,1975-02-20,D
2337,Nicklas Grossmann,20092010,Dallas Stars,1985-01-22,D
2338,Robbie Earl,20092010,Minnesota Wild,1985-06-02,C/LW
2339,Kirk Maltby,20092010,Detroit Red Wings,1972-12-22,LW
2340,Brian Boyle,20092010,New York Rangers,1984-12-18,C/LW
2341,Colton Orr,20092010,Toronto Maple Leafs,1982-03-03,RW
2342,Brad Staubitz,20092010,San Jose Sharks,1984-07-28,RW
2343,Justin Abdelkader,20092010,Detroit Red Wings,1987-02-25,LW/RW
2344,Todd Fedoruk,20092010,Tampa Bay Lightning,1979-02-13,LW
2345,Mark Fraser,20092010,New Jersey Devils,1986-09-29,D
2346,Tyler Sloan,20092010,Washington Capitals,1981-03-15,D
2347,Derek Meech,20092010,Detroit Red Wings,1984-04-21,D
2348,Victor Oreskovich,20092010,Florida Panthers,1986-08-15,RW
2349,James Sheppard,20092010,Minnesota Wild,1988-04-25,C/LW
2350,Ruslan Salei,20092010,Colorado Avalanche,1974-11-02,D
2351,Jiri Tlusty,20092010,totals,1988-03-16,LW/RW
2352,John Carlson,20092010,Washington Capitals,1990-01-10,D
2353,Frazer McLaren,20092010,San Jose Sharks,1987-10-29,LW
2354,Jay Harrison,20092010,Carolina Hurricanes,1982-11-03,D
2355,John Erskine,20092010,Washington Capitals,1980-06-26,D
2356,Cory Sarich,20092010,Calgary Flames,1978-08-16,D
2357,Ryan Stone,20092010,Edmonton Oilers,1985-03-20,LW
2358,Krys Barch,20092010,Dallas Stars,1980-03-26,RW/LW
2359,Jason Strudwick,20092010,Edmonton Oilers,1975-07-17,D
2360,Ryan Vesce,20092010,San Jose Sharks,1982-04-07,C/RW
2361,Dave Scatchard,20092010,Nashville Predators,1976-02-20,C
2362,Michal Repik,20092010,Florida Panthers,1988-12-31,RW
2363,Paul Bissonnette,20092010,Phoenix Coyotes,1985-03-11,LW/D
2364,Nathan Gerbe,20092010,Buffalo Sabres,1987-07-24,C/LW
2365,Benn Ferriero,20092010,San Jose Sharks,1987-04-29,RW
2366,Shean Donovan,20092010,Ottawa Senators,1975-01-22,RW
2367,Tom Pyatt,20092010,Montréal Canadiens,1987-02-14,C
2368,Brendan Witt,20092010,New York Islanders,1975-02-20,D
2369,James Wright,20092010,Tampa Bay Lightning,1990-03-24,C/LW
2370,Matt Walker,20092010,Tampa Bay Lightning,1980-04-07,D
2371,Zenon Konopka,20092010,Tampa Bay Lightning,1981-01-02,C
2372,Keith Aucoin,20092010,Washington Capitals,1978-11-06,C
2373,David Schlemko,20092010,Phoenix Coyotes,1987-05-07,D
2374,Ryan Johnson,20092010,Vancouver Canucks,1976-06-14,C
2375,Anders Eriksson,20092010,totals,1975-01-09,D
2376,Karl Alzner,20092010,Washington Capitals,1988-09-24,D
2377,George Parros,20092010,Anaheim Ducks,1979-12-29,RW
2378,Bryan Bickell,20092010,Chicago Blackhawks,1986-03-09,LW
2379,Dylan Reese,20092010,New York Islanders,1984-08-29,D
2380,Danny Syvret,20092010,Philadelphia Flyers,1985-06-13,D
2381,Mika Pyorala,20092010,Philadelphia Flyers,1981-07-13,LW/C
2382,Quintin Laing,20092010,Washington Capitals,1979-06-08,LW
2383,Mark Popovic,20092010,Atlanta Thrashers,1982-10-11,D
2384,Mike Blunden,20092010,Columbus Blue Jackets,1986-12-15,RW
2385,Matt D'Agostini,20092010,totals,1986-10-23,RW/LW
2386,Casey Wellman,20092010,Minnesota Wild,1987-10-18,C/RW
2387,Adam Burish,20092010,Chicago Blackhawks,1983-01-06,RW/LW
2388,Ville Koistinen,20092010,Florida Panthers,1982-06-17,D
2389,Derek MacKenzie,20092010,Columbus Blue Jackets,1981-06-11,C/LW
2390,Ilkka Pikkarainen,20092010,New Jersey Devils,1981-04-19,RW/LW
2391,Brian McGrattan,20092010,Calgary Flames,1981-09-02,RW
2392,Garnet Exelby,20092010,Toronto Maple Leafs,1981-08-16,D
2393,Ryan O'Byrne,20092010,Montréal Canadiens,1984-07-19,D
2394,Dustin Kohn,20092010,New York Islanders,1987-02-02,D
2395,Mike Komisarek,20092010,Toronto Maple Leafs,1982-01-19,D
2396,David Hale,20092010,Tampa Bay Lightning,1981-06-18,D
2397,Aaron Rome,20092010,Vancouver Canucks,1983-09-27,D
2398,Derek Boogaard,20092010,Minnesota Wild,1982-06-23,LW
2399,Chris Conner,20092010,Pittsburgh Penguins,1983-12-23,RW/LW
2400,David Laliberte,20092010,Philadelphia Flyers,1986-03-17,RW
2401,Ryan Stoa,20092010,Colorado Avalanche,1987-04-13,C/LW
2402,Cory Murphy,20092010,New Jersey Devils,1978-02-13,D
2403,Petr Sykora,20092010,Minnesota Wild,1976-11-19,RW
2404,Zack Smith,20092010,Ottawa Senators,1988-04-05,C/LW
2405,Radek Martinek,20092010,New York Islanders,1976-08-31,D
2406,Kevin Porter,20092010,totals,1986-03-12,C/RW
2407,Brian Lee,20092010,Ottawa Senators,1987-03-26,D
2408,Mike Santorelli,20092010,Nashville Predators,1985-12-14,C
2409,T.J. Hensick,20092010,Colorado Avalanche,1985-12-10,C/RW
2410,Alexandre Giroux,20092010,Washington Capitals,1981-06-16,LW/RW
2411,Matt Pettinger,20092010,Vancouver Canucks,1980-10-22,LW
2412,Staffan Kronwall,20092010,Calgary Flames,1982-09-10,D
2413,Grant Clitsome,20092010,Columbus Blue Jackets,1985-04-14,D
2414,Mikkel Boedker,20092010,Phoenix Coyotes,1989-12-16,LW/RW
2415,Kenndal McArdle,20092010,Florida Panthers,1987-01-04,LW
2416,Andreas Thuresson,20092010,Nashville Predators,1987-11-18,LW/RW
2417,Georges Laraque,20092010,Montréal Canadiens,1976-12-07,RW
2418,Nick Tarnasky,20092010,Florida Panthers,1984-11-25,LW/C
2419,Peter Harrold,20092010,Los Angeles Kings,1983-06-08,D/W
2420,Eric Godard,20092010,Pittsburgh Penguins,1980-03-07,RW
2421,Ryan Parent,20092010,Philadelphia Flyers,1987-03-17,D
2422,Lukas Krajicek,20092010,totals,1983-03-11,D
2423,Ben Lovejoy,20092010,Pittsburgh Penguins,1984-02-20,D
2424,Chris Bourque,20092010,totals,1986-01-29,LW
2425,Derek Joslin,20092010,San Jose Sharks,1987-03-17,D
2426,Nick Spaling,20092010,Nashville Predators,1988-09-19,C/LW
2427,Jeff Woywitka,20092010,Dallas Stars,1983-09-01,D
2428,Taylor Chorney,20092010,Edmonton Oilers,1987-04-27,D
2429,Brett Festerling,20092010,Anaheim Ducks,1986-03-03,D
2430,Tim Stapleton,20092010,Atlanta Thrashers,1982-07-19,C/RW
2431,Lars Eller,20092010,St Louis Blues,1989-05-08,C
2432,Drayson Bowman,20092010,Carolina Hurricanes,1989-03-08,W/C
2433,Nikita Filatov,20092010,Columbus Blue Jackets,1990-05-25,LW/RW
2434,Jake Dowell,20092010,Chicago Blackhawks,1985-03-04,C
2435,Jack Skille,20092010,Chicago Blackhawks,1987-05-19,RW/LW
2436,Nick Johnson,20092010,Pittsburgh Penguins,1985-12-24,RW
2437,Mark Mancari,20092010,Buffalo Sabres,1985-07-11,RW/LW
2438,Jay Beagle,20092010,Washington Capitals,1985-10-16,C/RW
2439,Paul Ranger,20092010,Tampa Bay Lightning,1984-09-12,D
2440,Justin Mercier,20092010,Colorado Avalanche,1987-06-25,C
2441,Alex Pietrangelo,20092010,St Louis Blues,1990-01-18,D
2442,Nick Bonino,20092010,Anaheim Ducks,1988-04-20,C/LW
2443,Nolan Baumgartner,20092010,Vancouver Canucks,1976-03-23,D
2444,Brad Lukowich,20092010,Vancouver Canucks,1976-08-12,D
2445,Jay Rosehill,20092010,Toronto Maple Leafs,1985-07-16,LW
2446,Matt Halischuk,20092010,New Jersey Devils,1988-06-01,RW
2447,Andreas Lilja,20092010,Detroit Red Wings,1975-07-13,D
2448,Jeff Taffe,20092010,Florida Panthers,1981-02-19,C
2449,Nathan Paetsch,20092010,totals,1983-03-30,D
2450,Jay Leach,20092010,totals,1979-09-02,D
2451,John Scott,20092010,Minnesota Wild,1982-09-26,LW
2452,Darcy Hordichuk,20092010,Vancouver Canucks,1980-08-10,LW
2453,Kyle Wilson,20092010,Washington Capitals,1984-12-05,C
2454,P.K. Subban,20092010,Montréal Canadiens,1989-05-13,D
2455,Jonas Junland,20092010,St Louis Blues,1987-11-15,D
2456,Arturs Kulda,20092010,Atlanta Thrashers,1988-07-25,D
2457,Matt Martin,20092010,New York Islanders,1989-05-08,LW
2458,Tomas Kana,20092010,Columbus Blue Jackets,1987-11-29,RW/C
2459,Jerome Samson,20092010,Carolina Hurricanes,1987-09-04,RW/C
2460,Tyson Strachan,20092010,St Louis Blues,1984-10-30,D
2461,Shaun Heshka,20092010,Phoenix Coyotes,1985-07-30,D
2462,Clayton Stoner,20092010,Minnesota Wild,1985-02-19,D
2463,Liam Reddox,20092010,Edmonton Oilers,1986-01-27,LW
2464,Deryk Engelland,20092010,Pittsburgh Penguins,1982-04-03,D
2465,Jon Kalinski,20092010,Philadelphia Flyers,1987-05-25,C/LW
2466,Doug Janik,20092010,Detroit Red Wings,1980-03-26,D
2467,Kyle Calder,20092010,Anaheim Ducks,1979-01-05,LW
2468,Rich Clune,20092010,Los Angeles Kings,1987-04-25,LW
2469,Mark Parrish,20092010,Tampa Bay Lightning,1977-02-02,RW
2470,Ryan White,20092010,Montréal Canadiens,1988-03-17,C/RW
2471,Ole-Kristian Tollefsen,20092010,Philadelphia Flyers,1984-03-29,D
2472,Alexander Sulzer,20092010,Nashville Predators,1984-05-30,D
2473,Boris Valabik,20092010,Atlanta Thrashers,1986-02-14,D
2474,Pierre-Luc Letourneau-Leblond,20092010,New Jersey Devils,1985-06-04,LW/RW
2475,Brendan Mikkelson,20092010,Anaheim Ducks,1987-06-22,D
2476,Matt Smaby,20092010,Tampa Bay Lightning,1984-10-14,D
2477,Wade Belak,20092010,Nashville Predators,1976-07-03,RW/D
2478,Joel Perrault,20092010,Phoenix Coyotes,1983-04-06,C/RW
2479,Colin McDonald,20092010,Edmonton Oilers,1984-09-30,RW
2480,Corey Elkins,20092010,Los Angeles Kings,1985-02-23,C
2481,Yan Stastny,20092010,St Louis Blues,1982-09-30,C
2482,Dwight Helminen,20092010,San Jose Sharks,1983-06-22,C
2483,Kris Newbury,20092010,Detroit Red Wings,1982-02-19,C/LW
2484,Dane Byers,20092010,New York Rangers,1986-02-21,LW/RW
2485,Cody Almond,20092010,Minnesota Wild,1989-07-24,C
2486,Patrick Davis,20092010,New Jersey Devils,1986-12-28,RW/C
2487,Mark Letestu,20092010,Pittsburgh Penguins,1985-02-04,C
2488,Warren Peters,20092010,Dallas Stars,1982-07-10,C/LW
2489,Jesse Joensuu,20092010,New York Islanders,1987-10-05,LW
2490,Adam McQuaid,20092010,Boston Bruins,1986-10-12,D
2491,David Koci,20092010,Colorado Avalanche,1981-05-12,D/LW
2492,Zach Hamill,20092010,Boston Bruins,1988-09-23,C/RW
2493,Joe Callahan,20092010,San Jose Sharks,1982-12-20,D
2494,Philip Larsen,20092010,Dallas Stars,1989-12-07,D
2495,Ryan O'Marra,20092010,Edmonton Oilers,1987-06-09,RW/C
2496,Tyler Eckford,20092010,New Jersey Devils,1985-09-08,D
2497,Nate Prosser,20092010,Minnesota Wild,1986-05-07,D
2498,Tom Preissing,20092010,Colorado Avalanche,1978-12-03,D
2499,Alex Plante,20092010,Edmonton Oilers,1989-05-09,D
2500,Philippe Dupuis,20092010,Colorado Avalanche,1985-04-24,C/RW
2501,Chris Minard,20092010,Edmonton Oilers,1981-11-18,W/C
2502,David Desharnais,20092010,Montréal Canadiens,1986-09-14,C/LW
2503,Nick Palmieri,20092010,New Jersey Devils,1989-07-12,RW
2504,Mark Flood,20092010,New York Islanders,1984-09-29,D
2505,Tim Sestito,20092010,New Jersey Devils,1984-08-28,C/LW
2506,Andreas Nodl,20092010,Philadelphia Flyers,1987-02-28,RW
2507,Trevor Gillies,20092010,New York Islanders,1979-01-30,LW
2508,Theo Peckham,20092010,Edmonton Oilers,1987-11-10,D
2509,Trent Whitfield,20092010,Boston Bruins,1977-06-17,C
2510,Brad Marchand,20092010,Boston Bruins,1988-05-11,W/C
2511,Steve MacIntyre,20092010,totals,1980-08-08,LW
2512,Donald Brashear,20092010,New York Rangers,1972-01-07,LW
2513,Brad May,20092010,Detroit Red Wings,1971-11-29,LW
2514,Mike Rathje,20092010,Philadelphia Flyers,1974-05-11,D
2515,Cody McCormick,20092010,Buffalo Sabres,1983-04-18,C/W
2516,Anton Klementyev,20092010,New York Islanders,1990-03-25,D
2517,Brayden Schenn,20092010,Los Angeles Kings,1991-08-22,C/W
2518,Nazem Kadri,20092010,Toronto Maple Leafs,1990-10-06,C
2519,Eric Tangradi,20092010,Pittsburgh Penguins,1989-02-10,LW/C
2520,Guillaume Lefebvre,20092010,Boston Bruins,1981-05-07,LW
2521,Maxim Noreau,20092010,Minnesota Wild,1987-05-24,D
2522,Andrei Loktionov,20092010,Los Angeles Kings,1990-05-30,C
2523,Peter Olvecky,20092010,Nashville Predators,1985-10-11,LW/C
2524,Andre Deveaux,20092010,Toronto Maple Leafs,1984-02-23,RW/C
2525,Marc-Andre Cliche,20092010,Los Angeles Kings,1987-03-23,C
2526,Scott Jackson,20092010,Tampa Bay Lightning,1987-02-05,D
2527,Kaspars Daugavins,20092010,Ottawa Senators,1988-05-18,W/C
2528,Darren Haydar,20092010,Colorado Avalanche,1979-10-22,RW
2529,Greg Mauldin,20092010,New York Islanders,1982-06-10,C/W
2530,Tim Brent,20092010,Toronto Maple Leafs,1984-03-10,C
2531,Tim Wallace,20092010,Pittsburgh Penguins,1984-08-06,C/RW
2532,Kurt Sauer,20092010,Phoenix Coyotes,1981-01-16,D
2533,Rob Davison,20092010,New Jersey Devils,1980-05-01,D
2534,Oskar Osala,20092010,Carolina Hurricanes,1987-12-26,LW/C
2535,Johan Motin,20092010,Edmonton Oilers,1989-10-10,D
2536,Perttu Lindgren,20092010,Dallas Stars,1987-08-26,C
2537,Mikko Lehtonen,20092010,Boston Bruins,1987-04-01,RW
2538,Dustin Jeffrey,20092010,Pittsburgh Penguins,1988-02-27,LW/C
2539,Guillaume Desbiens,20092010,Vancouver Canucks,1985-04-20,RW/LW
2540,Pierre-Marc Bouchard,20092010,Minnesota Wild,1984-04-27,C
2541,Jared Cowen,20092010,Ottawa Senators,1991-01-25,D
2542,Radek Smolenak,20092010,Chicago Blackhawks,1986-12-03,LW/RW
2543,Andy Wozniewski,20092010,Boston Bruins,1980-05-25,D
2544,Petr Kalus,20092010,Minnesota Wild,1987-06-29,LW/RW
2545,Casey Borer,20092010,Carolina Hurricanes,1985-07-28,D
2546,Chad Kolarik,20092010,Columbus Blue Jackets,1986-01-26,RW
2547,Shawn Belle,20092010,Montréal Canadiens,1985-01-03,D
2548,Aaron Gagnon,20092010,Dallas Stars,1986-04-24,C/RW
2549,Nate Guenin,20092010,Pittsburgh Penguins,1982-12-10,D
2550,Brock Trotter,20092010,Montréal Canadiens,1987-01-16,C/W
2551,Clay Wilson,20092010,Florida Panthers,1983-04-05,D
2552,Evan Oberg,20092010,Vancouver Canucks,1988-02-16,D
2553,Bobby Butler,20092010,Ottawa Senators,1987-04-26,RW
2554,Jeff Penner,20092010,Boston Bruins,1987-04-13,D
2555,Derek Smith,20092010,Ottawa Senators,1984-10-13,D
2556,Danny Irmen,20092010,Minnesota Wild,1984-09-06,C/RW
2557,Mario Bliznak,20092010,Vancouver Canucks,1987-03-06,C
2558,Andrew Gordon,20092010,Washington Capitals,1985-12-13,RW
2559,Ivan Vishnevsky,20092010,Dallas Stars,1988-02-18,D
2560,Ben Walter,20092010,New Jersey Devils,1984-05-11,C
2561,Brayden Irwin,20092010,Toronto Maple Leafs,1987-03-24,C/RW
2562,Wes O'Neill,20092010,Colorado Avalanche,1986-03-03,D
2563,Micheal Haley,20092010,New York Islanders,1986-03-30,C/W
2564,Jason Jaffray,20092010,Calgary Flames,1981-06-30,LW/C
2565,Corey Locke,20092010,New York Rangers,1984-05-08,C
2566,Jakub Kindl,20092010,Detroit Red Wings,1987-02-10,D
2567,J.T. Wyman,20092010,Montréal Canadiens,1986-02-27,RW/D
2568,Steven Zalewski,20092010,San Jose Sharks,1986-08-20,C/LW
2569,Jared Ross,20092010,Philadelphia Flyers,1982-09-18,C/LW
2570,Justin Falk,20092010,Minnesota Wild,1988-10-11,D
2571,Derek Peltier,20092010,Colorado Avalanche,1985-03-14,D
2572,Martin St. Pierre,20092010,Ottawa Senators,1983-08-11,C/LW
2573,Corey Potter,20092010,New York Rangers,1984-01-05,D
2574,Nathan Oystrick,20092010,Anaheim Ducks,1982-12-17,D
2575,Boyd Kane,20092010,Washington Capitals,1978-04-18,LW/C
2576,Mathieu Carle,20092010,Montréal Canadiens,1987-09-30,D
2577,Trevor Frischmon,20092010,Columbus Blue Jackets,1981-08-05,C
2578,Ryan Craig,20092010,Tampa Bay Lightning,1982-01-06,C/LW
2579,Tom Sestito,20092010,Columbus Blue Jackets,1987-09-28,LW
2580,Triston Grant,20092010,Nashville Predators,1984-02-02,LW
2581,Brian Willsie,20092010,Colorado Avalanche,1978-03-16,RW
2582,Greg Moore,20092010,Columbus Blue Jackets,1984-03-26,RW
2583,Drew Larman,20092010,Boston Bruins,1985-05-15,C
2584,Josh Hennessy,20092010,Ottawa Senators,1985-02-07,C
2585,Evgenii Dadonov,20092010,Florida Panthers,1989-03-12,RW/LW
2586,John McCarthy,20092010,San Jose Sharks,1986-08-09,C
2587,Maxim Mayorov,20092010,Columbus Blue Jackets,1989-03-26,LW/RW
2588,Vladimir Mihalik,20092010,Tampa Bay Lightning,1987-01-29,D
2589,Andy Hilbert,20092010,Minnesota Wild,1981-02-06,C
2590,Alec Martinez,20092010,Los Angeles Kings,1987-07-26,D
2591,Jeff Hoggan,20092010,Phoenix Coyotes,1978-02-01,RW/LW
2592,Trevor Lewis,20092010,Los Angeles Kings,1987-01-08,C/RW
2593,Raymond Sawada,20092010,Dallas Stars,1985-02-19,RW
2594,Mattias Ritola,20092010,Detroit Red Wings,1987-03-14,LW/RW
2595,Charles Linglet,20092010,Edmonton Oilers,1982-06-22,LW
2596,Andrew Bodnarchuk,20092010,Boston Bruins,1988-07-11,D
2597,Yannick Weber,20092010,Montréal Canadiens,1988-09-23,D
2598,Bobby Sanguinetti,20092010,New York Rangers,1988-02-29,D
2599,Francis Wathier,20092010,Dallas Stars,1984-12-07,LW
2600,Gregory Stewart,20092010,Montréal Canadiens,1986-05-21,LW
2601,Matt Lashoff,20092010,Tampa Bay Lightning,1986-09-29,D
2602,Ryan Keller,20092010,Ottawa Senators,1984-01-06,RW
2603,Derek Armstrong,20092010,St Louis Blues,1973-04-23,C
2604,Sergei Shirokov,20092010,Vancouver Canucks,1986-03-10,LW
2605,Ben Guite,20092010,Nashville Predators,1978-07-17,C
2606,Steven Goertzen,20092010,Carolina Hurricanes,1984-05-26,RW/LW
2607,Joel Rechlicz,20092010,New York Islanders,1987-06-14,RW
2608,Ilkka Heikkinen,20092010,New York Rangers,1984-11-13,D
2609,Chris Chelios,20092010,Atlanta Thrashers,1962-01-25,D
2610,Teemu Laakso,20092010,Nashville Predators,1987-08-27,D
2611,MacGregor Sharp,20092010,Anaheim Ducks,1985-10-01,C/LW
2612,Maxime Fortunus,20092010,Dallas Stars,1983-07-28,D
2613,Luca Sbisa,20092010,Anaheim Ducks,1990-01-30,D
2614,Alexandre Picard,20092010,Columbus Blue Jackets,1985-10-09,LW
2615,Nathan Smith,20092010,Minnesota Wild,1982-02-09,C
2616,Brett Sutter,20092010,Calgary Flames,1987-06-02,LW/C
2617,Mike Duco,20092010,Florida Panthers,1987-07-08,W/C
2618,Matthew Corrente,20092010,New Jersey Devils,1988-03-17,D
2619,Tim Conboy,20092010,Carolina Hurricanes,1982-03-22,D
2620,D.J. King,20092010,St Louis Blues,1984-06-27,LW/RW
2621,Ben Maxwell,20092010,Montréal Canadiens,1988-03-30,C/LW
2622,Dean Arsene,20092010,Edmonton Oilers,1980-07-20,D
2623,Jaime Sifers,20092010,Minnesota Wild,1983-01-18,D
2624,Blair Jones,20092010,Tampa Bay Lightning,1986-09-27,C/RW
2625,Alexandre Bolduc,20092010,Vancouver Canucks,1985-06-26,C
2626,Riley Cote,20092010,Philadelphia Flyers,1982-03-16,LW
2627,Keaton Ellerby,20092010,Florida Panthers,1988-11-05,D
2628,Andrew Peters,20092010,New Jersey Devils,1980-05-05,LW
2629,Cam Janssen,20092010,St Louis Blues,1984-04-15,RW
2630,Raitis Ivanans,20092010,Los Angeles Kings,1979-01-03,LW
2631,Daniel Sedin,20102011,Vancouver Canucks,1980-09-26,LW
2632,Martin St. Louis,20102011,Tampa Bay Lightning,1975-06-18,RW
2633,Corey Perry,20102011,Anaheim Ducks,1985-05-16,RW
2634,Henrik Sedin,20102011,Vancouver Canucks,1980-09-26,C
2635,Steven Stamkos,20102011,Tampa Bay Lightning,1990-02-07,C/W
2636,Jarome Iginla,20102011,Calgary Flames,1977-07-01,RW
2637,Alex Ovechkin,20102011,Washington Capitals,1985-09-17,LW
2638,Teemu Selanne,20102011,Anaheim Ducks,1970-07-03,RW
2639,Henrik Zetterberg,20102011,Detroit Red Wings,1980-10-09,C
2640,Brad Richards,20102011,Dallas Stars,1980-05-02,C
2641,Eric Staal,20102011,Carolina Hurricanes,1984-10-29,C
2642,Jonathan Toews,20102011,Chicago Blackhawks,1988-04-29,C
2643,Claude Giroux,20102011,Philadelphia Flyers,1988-01-12,W/C
2644,Ryan Getzlaf,20102011,Anaheim Ducks,1985-05-10,C
2645,Ryan Kesler,20102011,Vancouver Canucks,1984-08-31,C
2646,Patrick Marleau,20102011,San Jose Sharks,1979-09-15,LW
2647,Thomas Vanek,20102011,Buffalo Sabres,1984-01-19,LW/RW
2648,Patrick Kane,20102011,Chicago Blackhawks,1988-11-19,RW
2649,Loui Eriksson,20102011,Dallas Stars,1985-07-17,LW/RW
2650,Anze Kopitar,20102011,Los Angeles Kings,1987-08-24,C
2651,Patrick Sharp,20102011,Chicago Blackhawks,1981-12-27,LW/RW
2652,Bobby Ryan,20102011,Anaheim Ducks,1987-03-17,RW/LW
2653,Mike Ribeiro,20102011,Dallas Stars,1980-02-10,C
2654,Joe Thornton,20102011,San Jose Sharks,1979-07-02,C
2655,Alex Tanguay,20102011,Calgary Flames,1979-11-21,LW
2656,Daniel Briere,20102011,Philadelphia Flyers,1977-10-06,C
2657,Lubomir Visnovsky,20102011,Anaheim Ducks,1976-08-11,D
2658,John Tavares,20102011,New York Islanders,1990-09-20,C/LW
2659,Matt Duchene,20102011,Colorado Avalanche,1991-01-16,C/RW
2660,Jeff Carter,20102011,Philadelphia Flyers,1985-01-01,C
2661,Sidney Crosby,20102011,Pittsburgh Penguins,1987-08-07,C
2662,Rick Nash,20102011,Columbus Blue Jackets,1984-06-16,LW/RW
2663,Mike Richards,20102011,Philadelphia Flyers,1985-02-11,C
2664,Joe Pavelski,20102011,San Jose Sharks,1984-07-11,C/RW
2665,Nicklas Backstrom,20102011,Washington Capitals,1987-11-23,C
2666,Phil Kessel,20102011,Toronto Maple Leafs,1987-10-02,RW/C
2667,Dany Heatley,20102011,San Jose Sharks,1981-01-21,LW/RW
2668,Jeff Skinner,20102011,Carolina Hurricanes,1992-05-16,LW/C
2669,David Backes,20102011,St Louis Blues,1984-05-01,RW/C
2670,Milan Lucic,20102011,Boston Bruins,1988-06-07,LW
2671,Ryane Clowe,20102011,San Jose Sharks,1982-09-30,LW
2672,Martin Havlat,20102011,Minnesota Wild,1981-04-19,RW/LW
2673,Patrik Elias,20102011,New Jersey Devils,1976-04-13,LW
2674,Clarke MacArthur,20102011,Toronto Maple Leafs,1985-04-06,LW
2675,Mikko Koivu,20102011,Minnesota Wild,1983-03-12,C
2676,Nicklas Lidstrom,20102011,Detroit Red Wings,1970-04-28,D
2677,David Krejci,20102011,Boston Bruins,1986-04-28,C
2678,Ilya Kovalchuk,20102011,New Jersey Devils,1983-04-15,LW/RW
2679,Shane Doan,20102011,Phoenix Coyotes,1976-10-10,RW
2680,Andrew Ladd,20102011,Atlanta Thrashers,1985-12-12,LW
2681,Pavel Datsyuk,20102011,Detroit Red Wings,1978-07-20,C
2682,Keith Yandle,20102011,Phoenix Coyotes,1986-09-09,D
2683,Mikhail Grabovski,20102011,Toronto Maple Leafs,1984-01-31,C
2684,Nikolay Kulemin,20102011,Toronto Maple Leafs,1986-07-14,LW/RW
2685,Dustin Brown,20102011,Los Angeles Kings,1984-11-04,RW/LW
2686,Marian Hossa,20102011,Chicago Blackhawks,1979-01-12,RW
2687,R.J. Umberger,20102011,Columbus Blue Jackets,1982-05-03,C/W
2688,Justin Williams,20102011,Los Angeles Kings,1981-10-04,RW
2689,Paul Stastny,20102011,Colorado Avalanche,1985-12-27,C
2690,Tomas Plekanec,20102011,Montréal Canadiens,1982-10-31,C
2691,Patrice Bergeron,20102011,Boston Bruins,1985-07-24,C
2692,Jason Spezza,20102011,Ottawa Senators,1983-06-13,C
2693,Tuomo Ruutu,20102011,Carolina Hurricanes,1983-02-16,LW/RW
2694,Ray Whitney,20102011,Phoenix Coyotes,1972-05-08,LW
2695,Brenden Morrow,20102011,Dallas Stars,1979-01-16,LW
2696,Logan Couture,20102011,San Jose Sharks,1989-03-28,C
2697,Jamie Benn,20102011,Dallas Stars,1989-07-18,LW
2698,Milan Hejduk,20102011,Colorado Avalanche,1976-02-14,RW
2699,Johan Franzen,20102011,Detroit Red Wings,1979-12-23,LW
2700,Brad Boyes,20102011,totals,1982-04-17,RW
2701,Alexander Semin,20102011,Washington Capitals,1984-03-03,RW/LW
2702,Vincent Lecavalier,20102011,Tampa Bay Lightning,1980-04-21,C
2703,Brandon Dubinsky,20102011,New York Rangers,1986-04-29,C/LW
2704,Olli Jokinen,20102011,Calgary Flames,1978-12-05,C
2705,Matt Moulson,20102011,New York Islanders,1983-11-01,LW/RW
2706,Chris Stewart,20102011,totals,1987-10-30,RW/LW
2707,Nathan Horton,20102011,Boston Bruins,1985-05-29,RW
2708,PA Parenteau,20102011,New York Islanders,1983-03-24,RW
2709,Dustin Byfuglien,20102011,Atlanta Thrashers,1985-03-27,D
2710,Ville Leino,20102011,Philadelphia Flyers,1983-10-06,LW/RW
2711,Michael Grabner,20102011,New York Islanders,1987-10-05,LW/RW
2712,Drew Stafford,20102011,Buffalo Sabres,1985-10-30,RW
2713,Erik Cole,20102011,Carolina Hurricanes,1978-11-06,LW
2714,Jason Pominville,20102011,Buffalo Sabres,1982-11-30,RW
2715,Patrik Berglund,20102011,St Louis Blues,1988-06-02,C
2716,Jussi Jokinen,20102011,Carolina Hurricanes,1983-04-01,W/C
2717,Alexander Steen,20102011,St Louis Blues,1984-03-01,LW/RW
2718,Teddy Purcell,20102011,Tampa Bay Lightning,1985-09-08,LW/RW
2719,Toby Enstrom,20102011,Atlanta Thrashers,1984-11-05,D
2720,James Wisniewski,20102011,totals,1984-02-21,D
2721,Rene Bourque,20102011,Calgary Flames,1981-12-10,LW/RW
2722,Sergei Kostitsyn,20102011,Nashville Predators,1987-03-20,RW/LW
2723,Andy McDonald,20102011,St Louis Blues,1977-08-25,C/LW
2724,Mikael Samuelsson,20102011,Vancouver Canucks,1976-12-23,RW
2725,Martin Erat,20102011,Nashville Predators,1981-08-29,RW/LW
2726,Christian Ehrhoff,20102011,Vancouver Canucks,1982-07-06,D
2727,Dan Boyle,20102011,San Jose Sharks,1976-07-12,D
2728,Kris Letang,20102011,Pittsburgh Penguins,1987-04-24,D
2729,Scott Hartnell,20102011,Philadelphia Flyers,1982-04-18,LW
2730,Stephen Weiss,20102011,Florida Panthers,1983-04-03,C
